Unnamed: 0,car_name,year,kilometers_driven,owner_type,fuel_type,location,drive_type,body_type,price,brand,model,owner_type_str,price_lakhs
4639,Hyundai Verna,2017.0,82196,1,PETROL,TN-07,Manual,Sedan,717000,Hyundai,Verna,First,7.17
4640,Maruti Vitara Brezza,2020.0,18026,1,PETROL,WB-26,Manual,SUV,647000,Maruti,Vitara Brezza,First,6.47
4641,Maruti S PRESSO,2020.0,29963,1,PETROL,HR-26,Manual,HatchBack,410000,Maruti,S PRESSO,First,4.1
4642,Hyundai Grand i10,2015.0,36724,1,PETROL,RJ-14,Manual,HatchBack,491000,Hyundai,Grand i10,First,4.91
4643,Tata PUNCH,2022.0,27786,1,PETROL,TN-77,Automatic,SUV,911000,Tata,PUNCH,First,9.11
4644,Hyundai Grand i10,2018.0,21903,2,PETROL,DL-8C,Manual,HatchBack,498000,Hyundai,Grand i10,Second,4.98
4645,Maruti Baleno,2020.0,30924,1,PETROL,UP-14,Manual,HatchBack,554000,Maruti,Baleno,First,5.54
4646,Maruti Alto 800,2012.0,88416,2,PETROL,KA-02,Manual,HatchBack,239000,Maruti,Alto 800,Second,2.39
4647,Tata Tiago,2018.0,97982,1,PETROL,TS-08,Automatic,HatchBack,536000,Tata,Tiago,First,5.36
4648,Maruti Alto K10,2018.0,29010,2,PETROL,PB-11,Manual,HatchBack,368000,Maruti,Alto K10,Second,3.68
4649,Honda Civic,2019.0,55494,1,DIESEL,MH-04,Manual,Sedan,467000,Honda,Civic,First,4.67
4650,Renault Kwid,2020.0,24521,1,PETROL,KA-08,Automatic,HatchBack,575000,Renault,Kwid,First,5.75
4651,Hyundai NEW I20,2020.0,95585,1,PETROL,UP-32,Manual,HatchBack,604000,Hyundai,NEW I20,First,6.04
4652,Hyundai NEW SANTRO,2019.0,24043,1,PETROL,HR-87,Manual,HatchBack,483000,Hyundai,NEW SANTRO,First,4.83
4653,Maruti Vitara Brezza,2016.0,42216,1,DIESEL,DL-10,Manual,SUV,577000,Maruti,Vitara Brezza,First,5.77
4654,Volkswagen Polo,2010.0,102254,2,PETROL,,Manual,HatchBack,192000,Volkswagen,Polo,Second,1.92
4655,Hyundai VENUE,2020.0,18194,1,PETROL,DL-5C,Automatic,SUV,1015000,Hyundai,VENUE,First,10.15
4656,Hyundai Grand i10,2018.0,88417,1,PETROL,TN-18,Manual,HatchBack,495000,Hyundai,Grand i10,First,4.95
4657,Maruti Swift,2017.0,69739,1,PETROL,DL-3C,Manual,HatchBack,436000,Maruti,Swift,First,4.36
4658,Renault Kiger,2021.0,6835,1,PETROL,UP-14,Manual,HatchBack,858000,Renault,Kiger,First,8.58
4659,Hyundai Elite i20,2017.0,24418,1,PETROL,DL-8C,Manual,HatchBack,553350,Hyundai,Elite i20,First,5.5335
4660,Maruti Swift,2013.0,74923,1,PETROL,GJ-06,Manual,HatchBack,391000,Maruti,Swift,First,3.91
4661,Ford Ecosport,2017.0,82722,2,DIESEL,PB-10,Manual,SUV,584000,Ford,Ecosport,Second,5.84
4662,Hyundai Elite i20,2020.0,59999,1,PETROL,TS-11,Manual,HatchBack,678000,Hyundai,Elite i20,First,6.78
4663,Tata NEXON,2020.0,27750,1,DIESEL,KA-03,Manual,SUV,945000,Tata,NEXON,First,9.45
4664,Datsun Go Plus,2016.0,52642,1,PETROL,TN-14,Manual,HatchBack,343000,Datsun,Go Plus,First,3.43
4665,Hyundai i10,2012.0,17962,1,PETROL,DL-4C,Manual,HatchBack,252000,Hyundai,i10,First,2.52
4666,Maruti S PRESSO,2019.0,24086,2,PETROL,MH-01,Automatic,HatchBack,452000,Maruti,S PRESSO,Second,4.52
4667,Maruti Dzire,2019.0,99715,2,PETROL,TN-23,Automatic,Sedan,704350,Maruti,Dzire,Second,7.0435
4668,Mahindra XUV 3OO,2021.0,77621,1,PETROL,RJ-45,Manual,SUV,776000,Mahindra,XUV 3OO,First,7.76
4669,Honda Brio,2018.0,48847,1,PETROL,GJ-06,Manual,HatchBack,457000,Honda,Brio,First,4.57
4670,Hyundai i10,2011.0,22679,2,PETROL,KA-01,Automatic,HatchBack,328000,Hyundai,i10,Second,3.28
4671,Maruti Dzire,2019.0,77569,2,PETROL,RJ-02,Manual,Sedan,516000,Maruti,Dzire,Second,5.16
4672,Maruti Swift,2015.0,89200,1,PETROL,KA-50,Manual,HatchBack,479000,Maruti,Swift,First,4.79
4673,Hyundai Eon,2014.0,16083,3,PETROL,GJ-03,Manual,HatchBack,227000,Hyundai,Eon,Third,2.27
4674,Skoda Rapid,2016.0,123662,1,PETROL,,Manual,Sedan,725000,Skoda,Rapid,First,7.25
4675,Honda City,2017.0,14466,1,PETROL,MH-48,Automatic,Sedan,1855000,Honda,City,First,18.55
4676,Renault Kwid,2017.0,66493,1,PETROL,UP-14,Automatic,HatchBack,317000,Renault,Kwid,First,3.17
4677,Maruti Ritz,2013.0,107239,1,PETROL,,Manual,HatchBack,303000,Maruti,Ritz,First,3.03
4678,Hyundai Verna,2017.0,46383,2,DIESEL,KA-04,Automatic,Sedan,981000,Hyundai,Verna,Second,9.81
4679,Honda Amaze,2014.0,39858,1,PETROL,KA-01,Automatic,Sedan,1325000,Honda,Amaze,First,13.25
4680,Mahindra TUV300,2017.0,94015,1,DIESEL,TN-10,Manual,SUV,610000,Mahindra,TUV300,First,6.1
4681,Hyundai i10,2012.0,73424,2,PETROL,AP-13,Manual,HatchBack,291650,Hyundai,i10,Second,2.9165
4682,Renault Kwid,2017.0,54827,1,PETROL,HR-51,Manual,HatchBack,286000,Renault,Kwid,First,2.86
4683,Hyundai New Elantra,2017.0,115484,2,PETROL,,Manual,Lux_sedan,836000,Hyundai,New Elantra,Second,8.36
4684,Honda Brio,2013.0,44323,2,PETROL,KA-03,Manual,HatchBack,317000,Honda,Brio,Second,3.17
4685,Honda Amaze,2013.0,72233,1,PETROL,MH-49,Manual,Sedan,429000,Honda,Amaze,First,4.29
4686,Hyundai Eon,2016.0,70411,1,PETROL,TN-29,Manual,HatchBack,344000,Hyundai,Eon,First,3.44
4687,Maruti Swift,2017.0,46987,1,PETROL,DL-12,Manual,HatchBack,450000,Maruti,Swift,First,4.5
4688,Hyundai Creta,2020.0,52422,1,PETROL,KA-41,Manual,SUV,1416000,Hyundai,Creta,First,14.16
4689,Maruti New Wagon-R,2019.0,23380,1,CNG,MH-02,Manual,HatchBack,529000,Maruti,New Wagon-R,First,5.29
4690,Hyundai Grand i10,2015.0,26655,2,PETROL,WB-08,Manual,HatchBack,394000,Hyundai,Grand i10,Second,3.94
4691,Hyundai Grand i10,2018.0,27782,3,PETROL,DL-1C,Manual,HatchBack,462000,Hyundai,Grand i10,Third,4.62
4692,Toyota YARIS,2018.0,21551,2,PETROL,UP-32,Automatic,Sedan,805000,Toyota,YARIS,Second,8.05
4693,Hyundai NEW SANTRO,2020.0,39729,1,PETROL,DL-11,Manual,HatchBack,426000,Hyundai,NEW SANTRO,First,4.26
4694,Maruti Alto 800,2014.0,13135,1,PETROL,TN-10,Manual,HatchBack,298000,Maruti,Alto 800,First,2.98
4695,Datsun Go Plus,2015.0,82962,1,PETROL,TN-40,Manual,HatchBack,309000,Datsun,Go Plus,First,3.09
4696,Honda Amaze,2014.0,96802,2,PETROL,DL-8C,Manual,Sedan,553000,Honda,Amaze,Second,5.53
4697,KIA SELTOS,2020.0,99072,1,PETROL,TS-08,Automatic,SUV,1465000,KIA,SELTOS,First,14.65
4698,Maruti Wagon R 1.0,2014.0,72113,1,PETROL,MH-49,Manual,HatchBack,330250,Maruti,Wagon R 1.0,First,3.3025
4699,Maruti Baleno,2018.0,53631,1,PETROL,TN-09,Automatic,HatchBack,687000,Maruti,Baleno,First,6.87
4700,Hyundai i20,2013.0,74669,3,PETROL,DL-3C,Manual,HatchBack,320000,Hyundai,i20,Third,3.2
4701,Honda Jazz,2017.0,35233,2,PETROL,TN-14,Automatic,HatchBack,613000,Honda,Jazz,Second,6.13
4702,KIA SONET,2022.0,7366,1,DIESEL,GJ-01,Automatic,SUV,1439000,KIA,SONET,First,14.39
4703,Hyundai NEW I20,2020.0,34139,1,PETROL,UP-62,Manual,HatchBack,706000,Hyundai,NEW I20,First,7.06
4704,Tata Tiago,2020.0,68843,1,PETROL,RJ-45,Manual,HatchBack,498000,Tata,Tiago,First,4.98
4705,Hyundai Elite i20,2016.0,14112,1,PETROL,GJ-05,Manual,HatchBack,570000,Hyundai,Elite i20,First,5.7
